12311;Microsoft Lync 2010 Search Handler race condition
12310;Opera Browser bis 17.00 on Android intent URL Handler information disclosure
12308;Joomla! 3.2.1 /index.php/weblinks-categories id SQL Injection
12307;Cisco Unified Communications Manager WAR File Handler information disclosure
12306;Cisco Unified Communications Manager SQL Injection
12305;Cisco Unified Communications Manager IP Manager Assistant SQL Injection
12304;Dell SonicWall 7.0/7.1 /sgms/mainPage node_id Reflected cross site scripting
12303;FFmpeg 2.0 decode_pulses() Out-of-Bounds denial of service
12302;FFmpeg 2.0 lag_decode_frame() buffer overflow
12301;FFmpeg 2.0 Truemotion1 Handler truemotion1_decode_header() Out-of-Bounds denial of service
12300;FFmpeg 2.0 Bitstream Buffer shorten_decode_frame() Out-of-Bounds denial of service
12299;FFmpeg 2.0 cmv_process_header() Out-of-Bounds denial of service
12298;FFmpeg 2.0 decode_update_thread_context() buffer overflow
12297;FFmpeg 2.0 Slice Segment Handler decode_nal_unit() Out-of-Bounds denial of service
12296;FFmpeg 2.0 decode_slice_header() Out-of-Bounds denial of service
12295;FFmpeg 2.0 H.264 Handler Out-of-Bounds denial of service
12294;FFmpeg 2.0 Decoding Handler libavcodec/wmalosslessdec.c buffer overflow
12293;FFmpeg 2.0 libavcodec/hevc.c hls_decode_entry() Out-of-Bounds denial of service
12292;Google Android 4.1 Javascript Bridge android/webkit/SearchBoxImpl.java buffer overflow
12291;Apache Struts bis 2.3.1 DebuggingInterceptor acceptedParamNames privilege escalation
12290;Cisco Unified Communications Manager log4jint denial of service
12289;Cisco Unified Communications Manager IP Manager Assistant Interface cross site scripting
12288;Cisco Unified Communications Manager Bulk Administration Interface information disclosure
12287;Cisco Unified Communications Manager Java Database Interface SQL Injection
12286;Cisco Unified Communications Manager Enterprise Mobility Application SQL Injection
12285;cPanel 11.38.2/11.40.1/11.42.0 /frontend/x3/cpanelpro/filelist-thumbs.html cross site scripting
12284;cPanel 11.42.0/11.40.1/11.38.2 editit.html cross site scripting
12283;cPanel 11.38.2/11.40.1/11.42.0 /frontend/x3/mail/def.html cross site scripting
12282;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 DNS Cluster Handler privilege escalation
12281;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 New Account Handler wwwacctform locale/cpmod Parameter privilege escalation
12280;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 /cgi/cpaddons_feature.pl cross site scripting
12279;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 Account Creation Handler Ruby Code privilege escalation
12278;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 XML API Handler Backup Restore privilege escalation
12277;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 XML API Handler Bypass privilege escalation
12276;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 /cgi/zoneeditor.cgi Newline Bypass privilege escalation
12275;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 WHM Interface /scripts/park owner Directory Traversal
12274;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 XML API Handler get_remote_access_hash Hash information disclosure
12273;cPanel 11.36.2.9/11.38.2.12 Account Creation Handler Directory Traversal
12272;cPanel 11.36.2.9/11.38.2.12/11.40.0.28/11.40.1.2 Horde Webmail Access Cache File Symlink privilege escalation
12271;Microsoft .NET Framework bis 4.5.1 HTTP POST Handler denial of service
12270;Symantec Web Gateway 5.1.1 SQL Injection
12269;Symantec Web Gateway 5.1.1 cross site scripting
12268;Adobe Shockwave Player 12.0.7.148 buffer overflow
12267;Microsoft Forefront Security for Exchange Server 2010 Mail Handler buffer overflow
12266;Microsoft .NET Framework 2.0/3.5.1 ASLR Bypass privilege escalation
12265;Microsoft .NET Framework bis 4.5.1 privilege escalation
12264;Microsoft Windows bis Server 2012 XML Core Services Bypass information disclosure
12263;Microsoft Windows 7/8/8.1/Server 2008/Server 2012/RT Direct2D 2D Geometric Figure buffer overflow
12262;Microsoft Internet Explorer 11 buffer overflow
12261;Microsoft Internet Explorer 11 buffer overflow
12260;Microsoft Internet Explorer 9/10/11 buffer overflow
12259;Microsoft Internet Explorer 7/8/9/10/11 buffer overflow
12258;Microsoft Internet Explorer bis 11 buffer overflow
12257;Microsoft Internet Explorer 6/7/8/9/10 buffer overflow
12256;Microsoft Internet Explorer 9/10/11 buffer overflow
12255;Microsoft Internet Explorer 9/10/11 buffer overflow
12254;Microsoft Internet Explorer bis 11 buffer overflow
12253;Microsoft Internet Explorer 5/6/7/8 buffer overflow
12252;Microsoft Internet Explorer 8 buffer overflow
12251;Microsoft Internet Explorer bis 11 buffer overflow
12250;Microsoft Internet Explorer bis 11 buffer overflow
12249;Microsoft Internet Explorer 5/6/7/8/9 buffer overflow
12248;Microsoft Internet Explorer bis 11 buffer overflow
12247;Microsoft Internet Explorer bis 11 buffer overflow
12246;Microsoft Internet Explorer 9/10/11 buffer overflow
12245;Microsoft Internet Explorer bis 11 buffer overflow
12244;Microsoft Internet Explorer bis 11 buffer overflow
12243;Microsoft Internet Explorer 6/7/8/9/10 buffer overflow
12242;Microsoft Internet Explorer 11 buffer overflow
12241;Microsoft Internet Explorer 9/10/11 Cross-Domain Security Handler Bypass information disclosure
12240;Microsoft Internet Explorer 9/10/11 VBScript Engine buffer overflow
12239;Microsoft Internet Explorer 8/9/10/11 privilege escalation
12238;Microsoft Windows 8/Server 2012/RT IPv6 Handler denial of service
12237;Adobe Shockwave Player 12.0.7.148 buffer overflow
12236;Xen Security 4.2 Hypercall Handler FLASK_AVC_CACHESTAT Off-By-One denial of service
12235;XenSource libvchan 4.2/4.3.0 XenStore Ring Index Handler buffer overflow
12234;Google Android 4.1 webView Class addJavascriptInterface privilege escalation
12233;Palo Alto Networks PAN-OS 5.0.9/5.1.4 Device Management Interface Bypass cross site scripting
12232;Palo Alto Networks PAN-OS 4.1.12/5.0.5 API Browser Bypass cross site scripting
12231;Palo Alto Networks PAN-OS 5.0.9 Certificate Handler Bypass privilege escalation
12230;Fortinet FortiWeb 5.0.3 Web Administration Interface cross site scripting
12229;Check Point Security Gateway/Management Server R75.47 Anti-Spoofing Module Bypass privilege escalation
12228;VideoLAN VLC Media Player 2.1.2 ASF File Handler denial of service
12227;MyBB 1.6.12 Post Search search.php POST Request cross site scripting
12226;Symantec Encryption Management Server 3.3.0 MP1 Web Email Protection information disclosure
12225;Python 2.7/3.3.3 sock_recvfrom_into() buffer overflow
12224;Fortinet FortiOS 5.0.5 firewall/schedule/recurrdlg mkey Reflected cross site scripting
12223;FortNet FortiWeb 5.0.3 /user/ldap_user/add Reflected cross site scripting
12222;McAfee Vulnerability Manager 7.5.5 Cross Site Request Forgery
12221;McAfee Vulnerability Manager 7.5.5 cross site scripting
12220;cPanel 11.36.2.10/11.38.2.13/11.40.0.29/11.40.1.3 WHM XML/JSON API getpkginfo() information disclosure
12219;IrfanView bis 4.36 Folder Name Handler Multi-Byte Character buffer overflow
12218;Joomla! 3.1.5 libraries/idna_convert/example.php lang Reflected cross site scripting
12217;Linux Kernel bis 3.12.4 net/ipx/af_ipx.c ipx_recvmsg Memory Leak information disclosure
12216;QEMU KVM bis 5.5-2.2 libspice privilege escalation
12215;X.org libXfont 1.2.1/1.2.2/1.3.1/1.4.3 BDF Font File Handler bitmap/bdfread.c bdfreadcharacters Stack-Based buffer overflow
12214;Linux Kernel bis 3.12.4 net/phonet/datagram.c pn_recvmsg Memory Leak information disclosure
12213;Linux Kernel bis 3.12.4 net/ipv4/ping.c Memory Leak information disclosure
12212;Open-Xchange AppSuite 7.4.0 Web Interface cross site scripting
12211;Juniper Junos 10.0/11.1/12.1/13.1 flowd Service IP Packet denial of service
12210;Apple iOS 7 Find My iPhone Bypass privilege escalation
12209;Apache Tomcat 8.0.0-RC1/8.0.1/7.0.0/7.0.50 Infinite Loop denial of service
12208;Linux Foundation Xen 4.3.1/4.3.0/4.2.3/4.2.2/4.2.1/4.2.0 xenstore Ring tools/libvchan/io.c buffer overflow
12207;F5 Networks BIG-IP bis 11.4.1 Unspecified information disclosure
12206;Google Android SDK Platform Tools 18.0.1 Signedness Handler adb/adb_client.c adb_connect() size buffer overflow
12205;MyBB search.php keywords Reflected cross site scripting
12204;TYPO3 6.1 Extension Manager Cross Site Request Forgery
12203;TYPO3 6.1 File Upload Handler Cross Site Request Forgery
12202;TYPO3 6.1 CMS Configuration Module Cross Site Request Forgery
12201;Linux Kernel 3.13.0 Empty Security Context Value Handler security/selinux/ss/services.c security_context_to_sid_core Local denial of service
12200;Python 2.7/3.1/3.2/3.3/3.4 Boundary Check Handler Modules/socketmodule.c sock_recvfrom_into buffer overflow
12199;Apache Subversion 1.7.14/1.8.5 mod_dav_svn/repos.c get_resource() non-GET HTTP Requests denial of service
12198;IBM Domino bis 9.0.1 IMAP Server denial of service
12197;Netgear D6300B 1.0.0.14_1.0.14 Credential Storage /data/nvram Admin Login Data Cleartext weak encryption
12196;Netgear D6300B 1.0.0.14_1.0.14 diag.cgi POST Admin Credential Storage privilege escalation
12195;Netgear D6300B 1.0.0.14_1.0.14 Default Account Password in Cleartext weak authentication
12194;Citrix 6.x/7.x/8.5/8.6 Stored information disclosure
12193;Adobe Flash Player bis 11.7.700.224 User Input Sanitizer buffer overflow
12192;ZyXEL P-660RU-T1 3.40(APU.0) Admin Account Password Public weak authentication
12191;Fortinet FortiWeb 5.0.3 user/ldap_user/add filter Reflected cross site scripting
12190;FFmpeg 2.1 libavcodec/mjpegdec.c ff_mjpeg_decode_sos Out-of-Bounds buffer overflow
12189;Fortinet FortiOS 5.0.5 /firewall/schedule/recurrdlg mkey Reflected cross site scripting
12188;Oracle Java JRE 7u51 unpack200 Logfile Handler unpacker::redirect_stdio() Symlink privilege escalation
12187;VideoLAN VLC Media Player File Handler libavcodec_plugin.dll NULL Pointer Dereference buffer overflow
12186;Xamarin Mono 2.9 HMAC Handler weak authentication
12185;Microsoft .NET Framework 2/4 HMAC Handler weak authentication
12184;Xamarin Mono 2.9 DTD Handler denial of service
12183;Microsoft .NET Framework 2/4 DTD Handler denial of service
12182;Mozilla Firefox 26 P-1 Public DH Value Handler unknown vulnerability
12181;Mozilla Firefox 26 ibssl Session Ticket Handler libssl Use-After-Free buffer overflow
12180;Mozilla Firefox 26 Web Worker asm.js buffer overflow
12179;Mozilla Firefox 26 Start Page UI Content privilege escalation
12178;Mozilla Firefox 26 Web Worker Error Message Bypass information disclosure
12177;Mozilla Firefox 26 Image Processor imgRequestProxy Use-After-Free buffer overflow
12176;Mozilla Firefox 26 XSLT Stylesheet Handler Content Security Policy privilege escalation
12175;Mozilla Firefox 26 on Android Path information disclosure
12174;Mozilla Firefox 26 document.caretPositionFromPoint Cross-Origin information disclosure
12173;Mozilla Firefox 26 RasterImage Image Decoder buffer overflow
12172;Mozilla Firefox 26 Downloaded File Open File Dialog Clickjacking privilege escalation
12171;Mozilla Firefox 26 XML Binding Language Handler XUL Element Bypass privilege escalation
12170;Mozilla Firefox 26 Firefox/Thunderbird/SeaMonkey buffer overflow
12169;Mozilla Firefox 26 buffer overflow
12168;Mozilla Firefox 26 JavaScript Engine window Bypass privilege escalation
12167;FFmpeg 2.1 libavcodec/hnm4video.c decode_interframe_v4a Out-of-Bounds buffer overflow
12166;FFmpeg 2.1 libavcodec/hevc.c hls_coding_quadtree Out-of-Bounds buffer overflow
12165;FFmpeg 2.1 libavcodec/tiff.c free_geotags NULL Pointer Dereference denial of service
12164;FFmpeg 2.1 libavcodec/vc1.c ff_vc1_parse_frame_header NULL Pointer Dereference denial of service
12163;FFmpeg 2.1 libavcodec/vc1.c rotate_luts Out-of-Bounds buffer overflow
12162;FFmpeg 2.1 libavcodec/hevc.c hls_slice_header Out-of-Bounds buffer overflow
12161;FFmpeg 2.1 libavcodec/hevc_filter.c get_qPy_pred unknown vulnerability
12160;FFmpeg 2.1 libavcodec/vc1dec.c vc1_decode_b_mb_intfi Out-of-Bounds buffer overflow
12159;FFmpeg 2.1 libavcodec/takdec.c tak_decode_frame Out-of-Array unknown vulnerability
12158;FFmpeg 2.1 libavformat/flac_picture.c ff_flac_parse_picture Uninitialized Memory unknown vulnerability
12157;FFmpeg 2.1 libavformat/flac_picture.c ff_flac_parse_picture Out-of-Bounds buffer overflow
12156;Cisco WebEx Meetings Server 1.0/1.1 Account Activation Handler Bypass weak authentication
12155;Cisco WebEx 11 SPI Call Handler Arbitrary File Enumeration information disclosure
12154;Cisco WebEx One-Click Client Password Encryption weak encryption
12153;Cisco WebEx Social bis 3.4(1) Authentication Session Hijacking weak authentication
12152;Cisco WebEx Meetings Server 1.0 Event Center Module Password and Host Keys information disclosure
12151;Cisco WebEx 4.1 Certificate Handler spoofing
12150;Cisco WebEx Social 3.0(1) Post URL Handler cross site scripting
12149;Cisco WebEx Social Input Field Handler Bypass buffer overflow
